Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
CVCB3.SA,"CVC (CVCB3): Goldman Sachs passa a deter 5,66% das ações ordinárias",https://br.investing.com/news/stock-market-news/cvc-cvcb3-goldman-sachs-passa-a-deter-566-das-acoes-ordinarias-1162470,2023-10-04,09:29,0.0,0.0,2.39,2.57,2.66
CVCB3.SA,"Ações: Assaí, CVC e CSN Mineração lideram altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-assai-cvc-e-csn-mineracao-lideram-altas-do-ibovespa-indice-sobe-1160514,2023-09-28,10:30,-0.6966,0.1926,2.47,2.65,2.57
CVCB3.SA,Ações: Ibovespa recua mais de 1% nesta quinta após Fed e Copom,https://br.investing.com/news/stock-market-news/acoes-ibovespa-recua-mais-de-1-nesta-quinta-apos-fed-e-copom-1158128,2023-09-21,10:29,-0.8677,0.6767,2.4,2.27,2.26
CVCB3.SA,"Ibovespa vai na contramão de NY e sobe 0,72%, aos 118,6 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-vai-na-contramao-de-ny-e-sobe-072-aos-1186-mil-pontos-1157928,2023-09-20,14:43,-0.9846,0.25,2.23,2.4,2.27
CVCB3.SA,Ibovespa avança com aéreas em destaque antes de Fed e Copom,https://br.investing.com/news/stock-market-news/ibovespa-avanca-com-aereas-em-destaque-antes-de-fed-e-copom-1157746,2023-09-20,11:52,-0.9413,0.0,2.23,2.4,2.27
CVCB3.SA,"Ações: Azul, Gol e CVC lideram altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-azul-gol-e-cvc-lideram-altas-do-ibovespa-indice-sobe-1157714,2023-09-20,10:45,0.4084,0.6486,2.23,2.4,2.27
CVCB3.SA,CVC (CVCB3) dispara com recuperação judicial da 123 Milhas aceita pela Justiça,https://br.investing.com/news/stock-market-news/cvc-cvcb3-dispara-com-recuperacao-judicial-da-123-milhas-aceita-pela-justica-1151771,2023-09-01,13:26,-0.296,0.0,2.48,2.59,2.58
CVCB3.SA,"Ibovespa encerra na mínima do dia e cai 5,09% no mês",https://br.investing.com/news/stock-market-news/ibovespa-encerra-na-minima-do-dia-e-cai-509-no-mes-1151478,2023-08-31,15:05,-0.9794,0.5859,2.74,2.48,2.59
CVCB3.SA,"Ações: Grupo Soma, CVC e Arezzo lideram perdas do Ibovespa; índice cai",https://br.investing.com/news/stock-market-news/acoes-grupo-soma-cvc--e-arezzo-lideram-perdas-do-ibovespa-indice-cai-1151218,2023-08-31,10:28,-0.0258,0.2732,2.74,2.48,2.59
CVCB3.SA,Exterior positivo é incapaz de animar Ibovespa por dúvidas fiscais; perda mensal supera 4%,https://br.investing.com/news/stock-market-news/exterior-positivo-e-incapaz-de-animar-ibovespa-por-duvidas-fiscais-perda-mensal-supera-4-1151263,2023-08-31,08:18,-0.7783,0.0,2.74,2.48,2.59
CVCB3.SA,"Com bancos, Ibovespa cai 0,73%, aos 117,5 mil, na penúltima sessão do mês",https://br.investing.com/news/stock-market-news/com-bancos-ibovespa-cai-073-aos-1175-mil-na-penultima-sessao-do-mes-1150951,2023-08-30,14:56,-0.9817,0.5204,2.34,2.74,2.48
CVCB3.SA,CVC (CVCB3) dispara quase 10% com pedido de recuperação judicial da 123 milhas,https://br.investing.com/news/stock-market-news/cvc-cvcb3-dispara-quase-10-com-pedido-de-recuperacao-judicial-da-123-milhas-1150715,2023-08-30,10:50,-0.6808,0.0,2.34,2.74,2.48
CVCB3.SA,Ibovespa descola de NY e fecha em queda com fiscal sob holofote,https://br.investing.com/news/stock-market-news/ibovespa-descola-de-ny-e-fecha-em-queda-com-fiscal-sob-holofote-1150915,2023-08-30,17:11,-0.8934,0.4404,2.34,2.74,2.48
CVCB3.SA,"Ibovespa sobe 1,1%, aos 118,4 mil pontos, reduzindo perda do mês a 2,9%",https://br.investing.com/news/stock-market-news/ibovespa-sobe-11-aos-1184-mil-pontos-reduzindo-perda-do-mes-a-29-1150492,2023-08-29,15:02,-0.9313,0.0,2.2,2.34,2.74
CVCB3.SA,"Ações: CVC, Cemig e Gerdau lideram altas do Ibovespa; índice sobe",https://br.investing.com/news/stock-market-news/acoes-cvc-cemig-e-gerdau-lideram-altas-do-ibovespa-indice-sobe-1150702,2023-08-30,10:28,-0.1531,0.4215,2.34,2.74,2.48
CVCB3.SA,"Ibovespa cai no dia 1,02%, a 115,8 mil pontos, limitando ganho da semana a 0,37%",https://br.investing.com/news/stock-market-news/ibovespa-cai-no-dia-102-a-1158-mil-pontos-limitando-ganho-da-semana-a-037-1149402,2023-08-25,15:01,-0.9858,-0.5267,2.43,2.27,2.2
CVCB3.SA,Ações da CVC (CVCB3) despencam após piora no prejuízo na base anual,https://br.investing.com/news/stock-market-news/acoes-da-cvc-cvcb3-despencam-apos-piora-no-prejuizo-na-base-anual-1142733,2023-08-09,09:42,-0.6808,0.4588,2.88,2.65,2.69
CVCB3.SA,Ibovespa segue sem fechar em alta em agosto após rali no 2º tri,https://br.investing.com/news/stock-market-news/ibovespa-segue-sem-fechar-em-alta-em-agosto-apos-rali-no-2o-tri-1143004,2023-08-09,17:08,-0.9872,-0.3612,2.88,2.65,2.69
CVCB3.SA,"Ações: CVC, Totvs e Petz lideram baixas do Ibovespa; índice cai",https://br.investing.com/news/stock-market-news/acoes-cvc-totvs-e-petz-lideram-baixas-do-ibovespa-indice-cai-1142762,2023-08-09,10:36,-0.9783,-0.6588,2.88,2.65,2.69
CVCB3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 3ª-feira  ,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-3afeira---1141901,2023-08-08,09:21,-0.782,0.4329,2.9,2.88,2.65
CVCB3.SA,"Ibovespa inicia semana em baixa de 0,11%, aos 119,3 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-inicia-semana-em-baixa-de-011-aos-1193-mil-pontos-1141566,2023-08-07,14:49,-0.9509,0.5423,3.02,2.9,2.88
CVCB3.SA,Ibovespa fecha com declínio discreto e volume reduzido; BB Seguridade sobe após balanço,https://br.investing.com/news/stock-market-news/ibovespa-fecha-com-declinio-discreto-e-volume-reduzido-bb-seguridade-sobe-apos-balanco-1141455,2023-08-07,17:05,-0.9799,-0.25,3.02,2.9,2.88
CVCB3.SA,"Ibovespa ensaia alta, mas perde fôlego e recua com ações da Vale, siderúrgicas e consumo",https://br.investing.com/news/stock-market-news/ibovespa-ensaia-alta-mas-perde-folego-e-recua-com-acoes-da-vale-siderurgicas-e-consumo-1141272,2023-08-07,08:19,-0.6808,0.0,3.02,2.9,2.88
CVCB3.SA,Ações: Ibovespa oscila nesta segunda,https://br.investing.com/news/stock-market-news/acoes-ibovespa-oscila-nesta-segunda-1141229,2023-08-07,10:29,-0.8516,0.0,3.02,2.9,2.88
CVCB3.SA,"Itaú, BB, Eletrobras, BTG, Oi, Azul e mais empresas divulgam dados semana que vem",https://br.investing.com/news/stock-market-news/itau-bb-eletrobras-btg-oi-azul-e-mais-empresas-divulgam-dados-semana-que-vem-1140768,2023-08-04,17:04,-0.296,0.0,3.03,3.02,2.9
