Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
JBSS3.SA,"Goldman Sachs vê JBS perto de ponto de inflexão e reitera ""compra""",https://br.investing.com/news/stock-market-news/goldman-sachs-ve-jbs-perto-de-ponto-de-inflexao-e-reitera-compra-1162125,2023-10-03,13:21,-0.6597,0.0,18.03,18.15,18.21
JBSS3.SA,Ações: Ibovespa engata alta de quase 1% nesta sexta,https://br.investing.com/news/stock-market-news/acoes-ibovespa-engata-alta-de-quase-1-nesta-sexta-1160986,2023-09-29,10:31,-0.7691,0.4696,17.78,18.05,18.03
JBSS3.SA,"Pilgrim's Pride, da JBS, capta US$ 500 milhões em bonds; demanda chegou a 4,5 vezes a oferta",https://br.investing.com/news/stock-market-news/pilgrims-pride-da-jbs-capta-us-500-milhoes-em-bonds-demanda-chegou-a-45-vezes-a-oferta-1160430,2023-09-28,05:05,0.3818,0.0,17.67,17.78,18.05
JBSS3.SA,EQI inicia cobertura de JBS (JBSS3) e Minerva (BEEF3) com recomendação de compra,https://br.investing.com/news/general/eqi-inicia-cobertura-de-jbs-jbss3-e-minerva-beef3-com-recomendacao-de-compra-1160109,2023-09-27,11:50,-0.296,0.0,17.84,17.67,17.78
JBSS3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 6ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-6afeira-1158520,2023-09-22,09:16,-0.7808,0.5632,18.32,18.22,18.11
JBSS3.SA,"Ações: IRB, Yduqs e Prio lideram altas do Ibovespa nesta sexta",https://br.investing.com/news/stock-market-news/acoes-irb-yduqs-e-prio-lideram-altas-do-ibovespa-nesta-sexta-1158558,2023-09-22,10:30,-0.4696,0.7941,18.32,18.22,18.11
JBSS3.SA,JBS defende rastreamento obrigatório de gado para frear desmatamento no Brasil,https://br.investing.com/news/stock-market-news/jbs-defende-rastreamento-obrigatorio-de-gado-para-frear-desmatamento-no-brasil-1158410,2023-09-21,19:11,-0.8402,0.0,18.62,18.32,18.22
JBSS3.SA,Frigoríficos: Proteína brasileira é destaque para analistas; ações do setor sobem,https://br.investing.com/news/stock-market-news/frigorificos-proteina-brasileira-e-destaque-para-analistas-acoes-do-setor-sobem-1152331,2023-09-04,11:51,-0.7783,0.0,18.51,18.6,18.69
JBSS3.SA,Ibovespa fecha praticamente estável com liquidez menor por feriado nos EUA,https://br.investing.com/news/stock-market-news/ibovespa-fecha-praticamente-estavel-com-liquidez-menor-por-feriado-nos-eua-1152460,2023-09-04,17:07,-0.9186,0.5423,18.51,18.6,18.69
JBSS3.SA,"Ações: Braskem,Eztec e 3R registram maiores quedas do Ibovespa; índice oscila",https://br.investing.com/news/stock-market-news/acoes-braskemeztec-e-3r-registram-maiores-quedas-do-ibovespa-indice-oscila-1152291,2023-09-04,10:32,0.3597,0.6767,18.51,18.6,18.69
