Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
MGLU3.SA,"Com risco global, Ibovespa cai 1,42%, a 113,4 mil, menor nível desde 5/6",https://br.investing.com/news/stock-market-news/com-risco-global-ibovespa-cai-142-a-1134-mil-menor-nivel-desde-56-1162293,2023-10-03,14:41,-0.9442,-0.5719,2.01,1.84,1.89
MGLU3.SA,Analistas do Goldman Sachs veem investidores brasileiros com viés ainda negativo para varejo,https://br.investing.com/news/stock-market-news/analistas-do-goldman-sachs-veem-investidores-brasileiros-com-vies-ainda-negativo-para-varejo-1159316,2023-09-25,15:35,-0.9657,0.1027,2.24,2.15,2.1
MGLU3.SA,"Ações: Casas Bahia, Magalu e Renner lideram perdas do Ibovespa; índice cai",https://br.investing.com/news/stock-market-news/acoes-casas-bahia-magalu-e-renner-lideram-perdas-do-ibovespa-indice-cai-1159170,2023-09-25,10:29,-0.7998,0.0,2.24,2.15,2.1
MGLU3.SA,"Ibovespa fecha quase estável com acomodação após Fed, mas tem pior semana desde março",https://br.investing.com/news/stock-market-news/ibovespa-fecha-quase-estavel-com-acomodacao-apos-fed-mas-tem-pior-semana-desde-marco-1158748,2023-09-22,17:16,-0.9517,0.0,2.35,2.24,2.15
MGLU3.SA,"Ibovespa cai 2,15%, a 116,1 mil pontos, em maior queda desde 2 de maio",https://br.investing.com/news/stock-market-news/ibovespa-cai-215-a-1161-mil-pontos-em-maior-queda-desde-2-de-maio-1158361,2023-09-21,14:48,-0.9792,0.7783,2.52,2.35,2.24
MGLU3.SA,Ibovespa fecha em queda sem trégua em receios fiscais e com exterior desfavorável,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-queda-sem-tregua-em-receios-fiscais-e-com-exterior-desfavoravel-1152878,2023-09-05,17:11,-0.9769,0.3612,2.78,2.69,2.59
MGLU3.SA,"Ações: Via, CVC e Magalu registram maiores quedas do Ibovespa; índice cai",https://br.investing.com/news/stock-market-news/acoes-via-cvc-e-magalu-registram-maiores-quedas-do-ibovespa-indice-cai-1152655,2023-09-05,10:29,-0.3736,0.0,2.78,2.69,2.59
MGLU3.SA,"Ibovespa inicia semana em leve baixa de 0,10%, aos 117,7 mil pontos",https://br.investing.com/news/stock-market-news/ibovespa-inicia-semana-em-leve-baixa-de-010-aos-1177-mil-pontos-1152479,2023-09-04,14:48,-0.9287,-0.1531,2.86,2.78,2.69
MGLU3.SA,Ibovespa fecha praticamente estável com liquidez menor por feriado nos EUA,https://br.investing.com/news/stock-market-news/ibovespa-fecha-praticamente-estavel-com-liquidez-menor-por-feriado-nos-eua-1152460,2023-09-04,17:07,-0.9186,0.5423,2.86,2.78,2.69
MGLU3.SA,Ibovespa quebra série de altas mensais e recua 5% em agosto,https://br.investing.com/news/stock-market-news/ibovespa-quebra-serie-de-altas-mensais-e-recua-5-em-agosto-1151430,2023-08-31,17:07,-0.93,0.6597,2.92,2.76,2.86
